Monte Carlo Parameter Chain
Iteration, P, Q, Chi-Square
0 -6.872652 3.398178 1246.552639 
1 -6.360737 3.158778 1237.431692 
2 -6.411289 3.126736 1227.010627 
3 -6.461841 3.094695 1225.377520 
4 -6.263189 2.842441 1191.089984 
5 -6.064537 2.590188 1175.087216 
6 -5.865885 2.337934 1147.976983 
7 -5.667233 2.085680 1125.782333 
8 -6.054041 1.850624 1125.593418 
9 -6.440849 1.615568 1058.480756 
10 -6.827656 1.380511 1060.459324 
11 -7.258141 0.906862 1018.813221 
12 -7.688625 0.433213 996.417715 
13 -8.119109 0.433213 995.687501 
14 -8.549593 0.433213 997.924150 
15 -8.980077 0.433213 992.252975 
16 -8.977211 0.092344 981.644264 
17 -8.974344 0.092344 981.644264 
18 -8.971477 0.092344 980.046519 
19 -8.968610 0.092344 982.727422 
20 -8.965743 0.092344 982.727422 
21 -8.962876 0.092344 981.462874 
22 -8.858188 0.389359 909.533432 
23 -8.753499 0.686375 931.060594 
24 -8.648810 0.983390 965.089893 
25 -8.544122 1.280406 984.279634 
26 -8.439433 1.577421 1011.917831 
27 -8.413282 1.623513 1038.307298 
28 -8.387131 1.669605 1036.208609 
29 -8.360980 1.715697 1037.897068 
30 -8.334829 1.761789 1043.116677 
31 -8.308678 1.807881 1039.352410 
32 -8.344787 1.739156 1063.896721 
33 -8.380896 1.670431 1046.459209 
34 -8.417005 1.601707 1059.243032 
35 -8.453114 1.532982 1035.897708 
36 -8.337922 1.610354 1125.527426 
37 -8.222731 1.687726 1129.209108 
38 -8.107539 1.765099 1130.966809 
39 -7.992348 1.842471 1146.893247 
40 -7.958135 2.288843 1084.693339 
41 -7.923922 2.735214 1146.559098 
42 -7.889709 3.181586 1216.229393 
43 -7.855496 3.627957 1252.000682 
44 -8.191566 3.060236 1165.137423 
45 -8.527636 2.492514 1132.954920 
46 -8.863706 1.924793 1093.410633 
47 -8.904139 1.356638 1074.588869 
48 -8.944571 0.788484 1023.532263 
49 -8.985004 0.220330 998.424441 
50 -9.025437 0.220330 996.790300 
51 -9.065870 0.220330 994.995571 
52 -9.106302 0.220330 990.521743 
53 -9.120853 0.549092 985.088027 
54 -9.135403 0.877854 993.976178 
55 -9.149953 1.206616 1025.789447 
56 -9.164503 1.535378 1022.279015 
57 -9.179054 1.864141 1054.055809 
58 -9.001316 2.044454 1029.519539 
59 -8.823578 2.224768 1031.960554 
60 -8.645840 2.405082 1054.855581 
61 -8.468101 2.585396 1097.384696 
62 -8.177127 2.718828 1102.454192 
63 -7.886153 2.852260 1143.101264 
64 -7.751834 3.428803 1225.491031 
65 -7.617514 4.005346 1273.874114 
66 -7.483195 4.581888 1345.425565 
67 -7.249563 4.375255 1360.609449 
68 -7.015932 4.168623 1338.741008 
69 -6.782300 3.961990 1322.193488 
70 -6.905928 3.518168 1239.943197 
71 -7.029555 3.074347 1232.490899 
72 -7.153182 2.630526 1153.472666 
73 -6.898761 2.675615 1112.891730 
74 -6.644339 2.720704 1104.209432 
75 -6.389918 2.765793 1136.021063 
76 -6.584672 2.653547 1182.703724 
77 -6.779425 2.541301 1167.854232 
78 -6.974179 2.429055 1171.488624 
79 -7.049098 3.037617 1205.586608 
80 -7.124018 3.646179 1254.917057 
81 -7.198937 4.254741 1330.491705 
82 -7.220852 3.865437 1266.925392 
83 -7.242768 3.476132 1199.745429 
84 -7.264683 3.086827 1175.081422 
85 -7.525145 3.206825 1208.664834 
86 -7.785607 3.326824 1206.779062 
87 -8.046069 3.446822 1204.273176 
88 -7.838510 2.984556 1214.367675 
