8.625 ± 0.25	1.86 -3	1.84 -3
8.75 ± 0.25	4.1 -3	2.62 -3
8.875 ± 0.25	8.4 -3	3.64 -3
9. ± 0.25	1.14 -2	4.13 -3
9.125 ± 0.25	1.1 -2	3.89 -3
9.25 ± 0.25	9.38 -3	3.41 -3
9.375 ± 0.25	6.3 -3	2.35 -3
9.5 ± 0.25	4.07 -3	1.3 -3
9.625 ± 0.25	3.47 -3	7.84 -4
9.75 ± 0.25	3.88 -3	7.68 -4
9.875 ± 0.25	3.02 -3	5.57 -4
10. ± 0.25	2.75 -3	4.73 -4
10.125 ± 0.25	2.06 -3	3.49 -4
10.25 ± 0.25	1.53 -3	2.38 -4
10.375 ± 0.25	1.09 -3	1.87 -4
10.5 ± 0.25	6.66 -4	1.24 -4
10.625 ± 0.25	3.16 -4	6.8 -5
10.75 ± 0.25	1.41 -4	3.45 -5
10.875 ± 0.25	5.85 -5	1.66 -5
11. ± 0.25	2.14 -5	9.15 -6
11.125 ± 0.25	1.38 -5	7.27 -6
11.25 ± 0.25	1.38 -5	7.4 -6
11.375 ± 0.25	1.28 -5 7.39 -6
11.5 ± 0.25	3.98 -6	2.71 -6
11.625 ± 0.25	2.92 -6	2.61 -6
11.75 ± 0.25	1.54 -7	1.53 -7
11.875 ± 0.25	3.34 -8	7.64 -8
12.00
12.125
12.25
12.5
12.625
12.75
12.875
13.00
13.125
13.25
13.5
13.625
