Monte Carlo Parameter Chain
Iteration, P, Q, Chi-Square
0 -0.973677 3.506712 674.283729 
1 -1.039496 3.456907 803.048349 
2 -1.049525 3.645476 639.059469 
3 -0.926750 3.597478 591.536642 
4 -0.750369 3.516595 662.573824 
5 -0.738114 3.647556 591.317827 
6 -0.783084 3.748625 487.088966 
7 -0.723730 3.861853 463.778093 
8 -0.557333 3.818863 426.155877 
9 -0.456404 3.775741 482.341042 
10 -0.316546 3.786966 406.376130 
11 -0.389093 3.740631 439.794263 
12 -0.443272 3.655289 534.313073 
13 -0.243013 3.557052 500.513303 
14 -0.170444 3.699646 437.178913 
15 -0.034187 3.674785 443.315533 
16 -0.141400 3.534173 556.678218 
17 -0.166021 3.764815 436.527729 
18 -0.192653 3.591871 494.521186 
19 -0.002881 3.513414 404.829776 
20 0.065692 3.537379 443.565481 
21 0.086812 3.468521 449.148623 
22 0.077153 3.544909 466.653214 
23 -0.079776 3.487377 533.238774 
24 -0.057331 3.561923 500.398533 
25 -0.183755 3.711559 449.077247 
26 -0.067409 3.703503 441.916510 
27 0.066452 3.676522 396.596779 
28 0.290644 3.918321 482.150256 
29 0.206703 3.990218 513.810708 
30 0.098858 4.095835 523.054812 
31 0.085431 4.147738 558.573665 
32 0.101553 4.205321 618.339540 
33 0.145578 3.903508 505.169682 
34 0.188502 3.869663 485.703226 
35 0.247096 3.753710 462.326043 
36 0.109926 3.903138 489.028045 
37 0.062261 4.114557 522.818634 
38 0.005408 4.143068 523.110239 
39 0.038890 3.985714 490.116041 
40 0.119278 4.072552 538.097619 
41 0.177740 4.085837 561.771030 
42 0.279155 4.019773 559.415681 
43 0.325410 3.959770 477.772628 
44 0.270193 4.080965 534.749204 
45 0.432369 3.968887 518.960796 
46 0.475400 4.031201 610.169940 
47 0.559845 4.030827 580.199409 
48 0.513426 4.057397 576.170459 
49 0.512417 3.922112 522.270855 
50 0.418265 3.983811 543.029729 
51 0.433041 3.952063 556.028229 
52 0.400607 3.831215 493.510573 
53 0.514930 3.683267 463.174778 
54 0.636043 3.648351 482.992632 
55 0.801741 3.614203 507.778676 
56 0.876392 3.549651 427.037301 
57 0.964581 3.268622 428.199717 
58 1.021225 3.273608 478.658163 
59 0.970978 3.443990 443.707925 
60 1.144505 3.364445 473.375680 
61 1.272493 3.299966 408.096625 
62 1.174854 3.313332 420.454724 
63 1.257972 3.147165 401.437945 
64 1.364506 3.068687 512.008174 
65 1.459601 2.982965 436.623969 
66 1.377705 3.111072 402.721409 
67 1.370208 3.001039 494.230943 
68 1.377395 2.795175 634.985147 
69 1.511858 2.709226 588.187459 
70 1.575554 2.883785 502.585053 
71 1.612366 2.808557 573.666228 
72 1.556608 2.878105 552.664211 
73 1.444345 2.948792 480.584705 
74 1.498683 2.989290 388.972472 
75 1.476867 3.061145 419.881273 
76 1.627019 3.101812 450.855382 
77 1.638706 3.102240 455.234553 
78 1.522532 3.068431 401.721951 
79 1.553520 3.183476 465.364923 
80 1.528571 3.184699 468.079319 
81 1.508366 3.062670 475.095731 
82 1.323017 3.073218 446.995488 
83 1.304353 3.032951 447.438522 
84 1.268450 3.115799 477.438130 
85 1.346962 3.233048 459.645039 
86 1.391403 3.370319 439.610280 
87 1.417444 3.372246 460.071475 
88 1.231243 3.587560 512.083586 
89 1.475016 3.739372 572.660589 
90 1.503093 3.699369 578.146217 
91 1.519735 3.698368 608.106600 
92 1.417267 3.679130 550.388731 
93 1.307884 3.769266 557.181593 
94 1.220439 3.719852 527.961016 
95 1.361852 3.831958 620.234904 
96 1.145828 3.807311 572.072549 
97 1.435067 3.790596 605.125592 
98 1.558541 3.859513 695.548860 
99 1.532030 3.765029 643.921025 
100 1.492207 3.645212 519.569178 
101 1.541685 3.595873 537.786015 
102 1.466916 3.634561 549.750582 
103 1.473037 3.574598 566.622866 
104 1.496352 3.734810 590.533818 
105 1.316566 3.814419 647.234518 
106 1.324063 3.726303 580.610267 
107 1.136448 3.626504 499.638368 
108 1.054064 3.721680 499.501234 
109 1.176642 3.732690 567.421844 
110 1.360659 3.867297 661.720078 
111 1.321415 3.764361 577.651210 
112 1.283064 3.693450 587.832616 
113 1.456958 3.831603 620.261001 
114 1.390112 3.875356 640.500665 
115 1.506337 3.726600 562.217926 
116 1.545492 3.691106 609.754061 
117 1.556153 3.807890 623.802654 
118 1.682924 3.791380 663.940696 
119 1.754917 3.674838 618.517844 
120 1.728744 3.677548 627.378348 
121 1.749718
