#250um
#Flux	Nbin	corr	N(>S)	(dN/dS)*S^2.5
800	10	1      0.7 0.2  2200  700
450	4	1	1  0.3	1200   600
350	14	1	2  0.4	2300  600
250	16	1	3  0.5	1100  300
175	25	1	5  1.0	1500  300
125	115	1	10  1.0	2900  300
93	69	1	20  1	4200  500
83	126	1	25  2	5700  500
73	232	1	45  2	7600   500
63	418	1	70  2	9600   500
56	345	1	100  3	12000   650
52	506	1	150  5	14000  600
47	710	1	200  5	16000  600
42	1093	1	300  5	18500   600
38	1702	1	374  5	21500   500
34	898	1.1	436  6	23000  800
#350um
700	7	1	0.5  0.2	800  300
250	8	1	1.0  0.3	600   200
175	8	1	1.6  0.3	500  200
125	27	1	3.5  0.5	700  150
91	16	1	4.6  0.5	900  250
82	43	1	7.6  1	2000  300
71	92	1	14.0  1	2800   300
61	195	1	28  1	4200  300
55	158	1	39  2	5000   400
50	256	1	56  2	6600  400
46	458	1	88  3	9400   450
41	669	1	134  3	11 000  400
38	594	1	176  4	13 000  550
#500um
250	4	1	0.28  0.15	285  150
150	7	1	0.76  0.25	140  50
95	3	1	0.97  0.3	190  100
82	13	1	1.88  0.4	370  100
70	26	0.89	3.68  0.5	580  100
63	16	0.84	4.79  0.6	580  150
60	19	0.82	6.11  0.7	760  200
56	43	0.82	9.1  0.8	1100  200
52	76	0.83	14.4  1.0	1300  150
48	50	0.84	17.8  1.0	1900  300
