# Filter database
# 
# new filters denoted by a leading '>', with the format
#     	      '> [filter_name] [exponent scale] [source]'
# exponent scale denotes units; for example:
# 	   -10 = Anstroms
#	   -9 = Nanometers
#	   -6 = Microns
# any integer (or float) number will cause wavelength to be scaled to 10^[exponent scale]
# source is where the filter information was taken from, put something (or null for no information)

> PACS_100 -10 Null
#       lam (ang)   response
       742500.00   0.00040742696
       743000.00   0.00033221603
       743500.00   0.00025744208
       744000.00   0.00027068460
       744500.00   0.00028380986
       745000.00   0.00031597581
       745500.00   0.00041555349
       746000.00   0.00051512937
       746500.00   0.00051358198
       747000.00   0.00040489088
       747500.00   0.00029605381
       748000.00   0.00021538200
       748500.00   0.00014978377
       749000.00   8.4029892e-05
       749500.00   0.00011432708
       750000.00   0.00015972734
       750500.00   0.00019707402
       751000.00   0.00013845173
       751500.00   7.9642334e-05
       752000.00   3.3664873e-05
       752500.00   2.7841046e-05
       753000.00   2.2009450e-05
       753500.00   5.7734706e-05
       754000.00   0.00015416151
       754500.00   0.00025072982
       755000.00   0.00028794928
       755500.00   0.00028075177
       756000.00   0.00027340757
       756500.00   0.00026947840
       757000.00   0.00026691471
       757500.00   0.00026421021
       758000.00   0.00052355290
       758500.00   0.00082952846
       759000.00    0.0011365942
       759500.00   0.00099622386
       760000.00   0.00083970221
       760500.00   0.00068118332
       761000.00   0.00050247215
       761500.00   0.00032338765
       762000.00   0.00024508042
       762500.00   0.00058824754
       763000.00   0.00093186452
       763500.00    0.0011534264
       764000.00    0.0010227418
       764500.00   0.00089174661
       765000.00   0.00073245580
       765500.00   0.00052540606
       766000.00   0.00031822395
       766500.00   0.00038922510
       767000.00   0.00081923935
       767500.00    0.0012496749
       768000.00    0.0014645367
       768500.00    0.0014654902
       769000.00    0.0014664437
       769500.00    0.0013308303
       770000.00    0.0010660532
       770500.00   0.00080093120
       771000.00   0.00094568419
       771500.00    0.0013855651
       772000.00    0.0018258755
       772500.00    0.0021152464
       773000.00    0.0023027992
       773500.00    0.0024905929
       774000.00    0.0023842728
       774500.00    0.0020898656
       775000.00    0.0017950763
       775500.00    0.0019085869
       776000.00    0.0022667664
       776500.00    0.0026254059
       777000.00    0.0029380703
       777500.00    0.0032201584
       778000.00    0.0035026069
       778500.00    0.0034385955
       779000.00    0.0030994040
       779500.00    0.0027611859
       780000.00    0.0027431813
       780500.00    0.0030163241
       781000.00    0.0032912289
       781500.00    0.0036429080
       782000.00    0.0040771726
       782500.00    0.0045119895
       783000.00    0.0046226396
       783500.00    0.0043432318
       784000.00    0.0040634635
       784500.00    0.0039523987
       785000.00    0.0041311974
       785500.00    0.0043087980
       786000.00    0.0045976483
       786500.00    0.0051674547
       787000.00    0.0057365567
       787500.00    0.0061865822
       788000.00    0.0061534071
       788500.00    0.0061201849
       789000.00    0.0061312100
       789500.00    0.0064782376
       790000.00    0.0068242691
       790500.00    0.0071693019
       791000.00    0.0080404842
       791500.00    0.0089213624
       792000.00    0.0098019128
       792500.00     0.010110926
       793000.00     0.010318359
       793500.00     0.010524608
       794000.00     0.010820260
       794500.00     0.011153684
       795000.00     0.011486080
       795500.00     0.012161754
       796000.00     0.013143872
       796500.00     0.014127215
       797000.00     0.014866414
       797500.00     0.015236802
       798000.00     0.015607643
       798500.00     0.015964476
       799000.00     0.016321744
       799500.00     0.016679446
       800000.00     0.017037583
       800500.00     0.018193478
       801000.00     0.019365310
       801500.00     0.020538591
       802000.00     0.021364745
       802500.00     0.022090183
       803000.00     0.022816507
       803500.00     0.023500066
       804000.00     0.024140777
       804500.00     0.024782267
       805000.00     0.025774415
       805500.00     0.027467969
       806000.00     0.029163605
       806500.00     0.030846718
       807000.00     0.032400365
       807500.00     0.033970537
       808000.00     0.035527997
       808500.00     0.036721316
       809000.00     0.037857480
       809500.00     0.038995022
       810000.00     0.040676686
       810500.00     0.042786056
       811000.00     0.044897997
       811500.00     0.047159470
       812000.00     0.049806027
       812500.00     0.052455808
       813000.00     0.055108812
       813500.00     0.057632450
       814000.00     0.060159148
       814500.00     0.062674156
       815000.00     0.065457876
       815500.00     0.068377880
       816000.00     0.071286638
       816500.00     0.074243269
       817000.00     0.077277446
       817500.00     0.080315280
       818000.00     0.083356773
       818500.00     0.086742848
       819000.00     0.090132997
       819500.00     0.093527222
       820000.00     0.097460118
       820500.00      0.10165034
       821000.00      0.10584560
       821500.00      0.11013516
       822000.00      0.11466804
       822500.00      0.11919146
       823000.00      0.12372029
       823500.00      0.12926864
       824000.00      0.13492810
       824500.00      0.14057939
       825000.00      0.14653625
       825500.00      0.15278427
       826000.00      0.15900984
       826500.00      0.16524282
       827000.00      0.17193254
       827500.00      0.17863022
       828000.00      0.18533587
       828500.00      0.19249961
       829000.00      0.19982198
       829500.00      0.20715305
       830000.00      0.21464312
       830500.00      0.22244287
       831000.00      0.23040234
       831500.00      0.23837123
       832000.00      0.24604820
       832500.00      0.25358345
       833000.00      0.26127843
       833500.00      0.26913342
       834000.00      0.27714867
       834500.00      0.28532446
       835000.00      0.29350985
       835500.00      0.30155354
       836000.00      0.30960664
       836500.00      0.31782065
       837000.00      0.32558951
       837500.00      0.33291243
       838000.00      0.34024386
       838500.00      0.34758381
       839000.00      0.35447644
       839500.00      0.36137704
       840000.00      0.36828561
       840500.00      0.37428888
       841000.00      0.37847140
       841500.00      0.38265863
       842000.00      0.38669808
       842500.00      0.39226780
       843000.00      0.39799653
       843500.00      0.40373177
       844000.00      0.40947353
       844500.00      0.41506888
       845000.00      0.42051754
       845500.00      0.42612547
       846000.00      0.43189295
       846500.00      0.43782025
       847000.00      0.44375424
       847500.00      0.44969494
       848000.00      0.45564234
       848500.00      0.46159644
       849000.00      0.46771099
       849500.00      0.47398627
       850000.00      0.48073040
       850500.00      0.48763616
       851000.00      0.49439560
       851500.00      0.50177946
       852000.00      0.50917165
       852500.00      0.51672655
       853000.00      0.52413549
       853500.00      0.53108906
       854000.00      0.53820508
       854500.00      0.54532906
       855000.00      0.55230618
       855500.00      0.55929108
       856000.00      0.56628377
       856500.00      0.57312913
       857000.00      0.57982691
       857500.00      0.58653211
       858000.00      0.59324473
       858500.00      0.59949836
       859000.00      0.60451438
       859500.00      0.60953583
       860000.00      0.61440697
       860500.00      0.61912753
       861000.00      0.62338539
       861500.00      0.62764777
       862000.00      0.63191468
       862500.00      0.63571753
       863000.00      0.63936808
       863500.00      0.64317881
       864000.00      0.64683705
       864500.00      0.64909008
       865000.00      0.65134528
       865500.00      0.65375939
       866000.00      0.65554853
       866500.00      0.65686855
       867000.00      0.65803264
       867500.00      0.65919763
       868000.00      0.66020634
       868500.00      0.66121578
       869000.00      0.66222593
       869500.00      0.66323681
       870000.00      0.66361820
       870500.00      0.66384195
       871000.00      0.66422325
       871500.00      0.66444672
       872000.00      0.66403835
       872500.00      0.66362907
       873000.00      0.66337698
       873500.00      0.66296598
       874000.00      0.66271236
       874500.00      0.66261638
       875000.00      0.66236139
       875500.00      0.66210568
       876000.00      0.66169061
       876500.00      0.66127463
       877000.00      0.66085775
       877500.00      0.66028104
       878000.00      0.65938525
       878500.00      0.65864710
       879000.00      0.65774850
       879500.00      0.65716699
       880000.00      0.65674377
       880500.00      0.65631964
       881000.00      0.65589461
       881500.00      0.65562831
       882000.00      0.65536128
       882500.00      0.65509353
       883000.00      0.65482505
       883500.00      0.65407585
       884000.00      0.65332539
       884500.00      0.65241348
       885000.00      0.65166039
       885500.00      0.65106639
       886000.00      0.65063176
       886500.00      0.65003568
       887000.00      0.64943851
       887500.00      0.64900098
       888000.00      0.64856254
       888500.00      0.64812320
       889000.00      0.64768296
       889500.00      0.64659746
       890000.00      0.64567152
       890500.00      0.64474412
       891000.00      0.64365392
       891500.00      0.64256208
       892000.00      0.64130708
       892500.00      0.64021190
       893000.00      0.63927681
       893500.00      0.63882570
       894000.00      0.63821178
       894500.00      0.63775876
       895000.00      0.63714276
       895500.00      0.63636350
       896000.00      0.63558298
       896500.00      0.63463883
       897000.00      0.63401812
       897500.00      0.63355886
       898000.00      0.63309869
       898500.00      0.63263762
       899000.00      0.63250125
       899500.00      0.63334172
       900000.00      0.63418274
       900500.00      0.63486122
       901000.00      0.63586639
       901500.00      0.63736207
       902000.00      0.63885902
       902500.00      0.64035723
       903000.00      0.64185671
       903500.00      0.64433919
       904000.00      0.64682402
       904500.00      0.64931120
       905000.00      0.65180074
       905500.00      0.65560449
       906000.00      0.65941205
       906500.00      0.66322341
       907000.00      0.66687432
       907500.00      0.67052886
       908000.00      0.67418701
       908500.00      0.67784879
       909000.00      0.68151419
       909500.00      0.68518321
       910000.00      0.68885585
       910500.00      0.69269700
       911000.00      0.69637698
       911500.00      0.70088593
       912000.00      0.70556456
       912500.00      0.71041315
       913000.00      0.71526664
       913500.00      0.71995958
       914000.00      0.72482275
       914500.00      0.72969081
       915000.00      0.73439806
       915500.00      0.73911002
       916000.00      0.74349491
       916500.00      0.74788416
       917000.00      0.75227774
       917500.00      0.75667568
       918000.00      0.76157670
       918500.00      0.76631627
       919000.00      0.77122698
       919500.00      0.77614258
       920000.00      0.78072986
       920500.00      0.78548835
       921000.00      0.79008477
       921500.00      0.79485260
       922000.00      0.79912422
       922500.00      0.80323294
       923000.00      0.80734565
       923500.00      0.81162958
       924000.00      0.81591768
       924500.00      0.82054479
       925000.00      0.82517643
       925500.00      0.82981260
       926000.00      0.83445330
       926500.00      0.83909852
       927000.00      0.84358039
       927500.00      0.84806661
       928000.00      0.85272523
       928500.00      0.85637950
       929000.00      0.86003720
       929500.00      0.86369834
       930000.00      0.86736292
       930500.00      0.87103095
       931000.00      0.87503961
       931500.00      0.87888339
       932000.00      0.88273079
       932500.00      0.88658182
       933000.00      0.89043646
       933500.00      0.89429473
       934000.00      0.89832576
       934500.00      0.90219136
       935000.00      0.90521396
       935500.00      0.90790044
       936000.00      0.91058927
       936500.00      0.91345006
       937000.00      0.91597400
       937500.00      0.91850012
       938000.00      0.92102841
       938500.00      0.92355888
       939000.00      0.92592147
       939500.00      0.92828605
       940000.00      0.93065262
       940500.00      0.93285086
       941000.00      0.93522133
       941500.00      0.93674127
       942000.00      0.93792112
       942500.00      0.93893100
       943000.00      0.94011221
       943500.00      0.94112327
       944000.00      0.94179297
       944500.00      0.94263389
       945000.00      0.94347517
       945500.00      0.94414559
       946000.00      0.94550147
       946500.00      0.94685824
       947000.00      0.94821593
       947500.00      0.94957451
       948000.00      0.95093401
       948500.00      0.95177909
       949000.00      0.95279641
       949500.00      0.95381426
       950000.00      0.95466062
       950500.00      0.95567947
       951000.00      0.95669886
       951500.00      0.95771880
       952000.00      0.95891168
       952500.00      0.95993279
       953000.00      0.96147221
       953500.00      0.96301271
       954000.00      0.96455429
       954500.00      0.96592411
       955000.00      0.96694894
       955500.00      0.96762823
       956000.00      0.96830770
       956500.00      0.96898736
       957000.00      0.96966720
       957500.00      0.96982702
       958000.00      0.97015996
       958500.00      0.97049273
       959000.00      0.97065164
       959500.00      0.97150524
       960000.00      0.97305461
       960500.00      0.97460507
       961000.00      0.97615662
       961500.00      0.97770925
       962000.00      0.97891454
       962500.00      0.97994625
       963000.00      0.98097850
       963500.00      0.98201130
       964000.00      0.98287006
       964500.00      0.98285584
       965000.00      0.98266632
       965500.00      0.98265093
       966000.00      0.98263499
       966500.00      0.98314360
       967000.00      0.98382734
       967500.00      0.98468646
       968000.00      0.98554594
       968500.00      0.98623040
       969000.00      0.98709052
       969500.00      0.98795100
       970000.00      0.98881184
       970500.00      0.98967305
       971000.00      0.99035877
       971500.00      0.99034093
       972000.00      0.99032255
       972500.00      0.99030363
       973000.00      0.99046037
       973500.00      0.99079304
       974000.00      0.99165470
       974500.00      0.99234024
       975000.00      0.99320253
       975500.00      0.99388853
       976000.00      0.99457470
       976500.00      0.99526106
       977000.00      0.99594760
       977500.00      0.99681134
       978000.00      0.99749833
       978500.00      0.99729949
       979000.00      0.99727721
       979500.00      0.99707701
       980000.00      0.99705356
       980500.00      0.99702956
       981000.00      0.99736033
       981500.00      0.99769093
       982000.00      0.99802134
       982500.00      0.99835157
       983000.00      0.99868162
       983500.00      0.99901148
       984000.00      0.99934117
       984500.00      0.99967068
       985000.00       1.0000000
       985500.00      0.99961526
       986000.00      0.99869393
       986500.00      0.99777115
       987000.00      0.99684692
       987500.00      0.99592125
       988000.00      0.99499412
       988500.00      0.99370752
       989000.00      0.99259821
       989500.00      0.99148727
       990000.00      0.99037471
       990500.00      0.98926051
       991000.00      0.98796521
       991500.00      0.98666811
       992000.00      0.98536919
       992500.00      0.98424820
       993000.00      0.98186678
       993500.00      0.97948246
       994000.00      0.97709524
       994500.00      0.97470513
       995000.00      0.97231212
       995500.00      0.97009649
       996000.00      0.96787814
       996500.00      0.96565708
       997000.00      0.96343330
       997500.00      0.96120681
       998000.00      0.96024274
       998500.00      0.95945805
       999000.00      0.95849117
       999500.00      0.95752285
       1000000.0      0.95655308
       1000500.0      0.95521948
       1001000.0      0.95388407
       1001500.0      0.95254685
       1002000.0      0.95120782
       1002500.0      0.94986698
       1003000.0      0.94834269
       1003500.0      0.94663468
       1004000.0      0.94510631
       1004500.0      0.94339404
       1005000.0      0.94186160
       1005500.0      0.94069136
       1006000.0      0.93970166
       1006500.0      0.93852824
       1007000.0      0.93735320
       1007500.0      0.93617652
       1008000.0      0.93426803
       1008500.0      0.93235719
       1009000.0      0.93026127
       1009500.0      0.92816281
       1010000.0      0.92606181
       1010500.0      0.92414128
       1011000.0      0.92221840
       1011500.0      0.92029316
       1012000.0      0.91836557
       1012500.0      0.91643562
       1013000.0      0.91542057
       1013500.0      0.91477116
       1014000.0      0.91430429
       1014500.0      0.91383652
       1015000.0      0.91318403
       1015500.0      0.91271435
       1016000.0      0.91224377
       1016500.0      0.91177228
       1017000.0      0.91148407
       1017500.0      0.91101086
       1018000.0      0.91035240
       1018500.0      0.90913950
       1019000.0      0.90792497
       1019500.0      0.90689345
       1020000.0      0.90567575
       1020500.0      0.90464124
       1021000.0      0.90415997
       1021500.0      0.90367780
       1022000.0      0.90319473
       1022500.0      0.90289592
       1023000.0      0.90241112
       1023500.0      0.90192542
       1024000.0      0.90162426
       1024500.0      0.90113683
       1025000.0      0.90083413
       1025500.0      0.90053070
       1026000.0      0.89966914
       1026500.0      0.89880630
       1027000.0      0.89794220
       1027500.0      0.89707683
       1028000.0      0.89639636
       1028500.0      0.89571480
       1029000.0      0.89577755
       1029500.0      0.89565350
       1030000.0      0.89552890
       1030500.0      0.89540376
       1031000.0      0.89546479
       1031500.0      0.89552546
       1032000.0      0.89558577
       1032500.0      0.89583269
       1033000.0      0.89589236
       1033500.0      0.89595167
       1034000.0      0.89526160
       1034500.0      0.89438310
       1035000.0      0.89369077
       1035500.0      0.89280982
       1036000.0      0.89192761
       1036500.0      0.89104413
       1037000.0      0.88997159
       1037500.0      0.88908548
       1038000.0      0.88801013
       1038500.0      0.88693333
       1039000.0      0.88585508
       1039500.0      0.88458713
       1040000.0      0.88312921
       1040500.0      0.88166948
